business_name,address,city,state,zip,phone,website_url,qr_code_file,tracking_id,campaign_id
"RCJ Cleaning Specialists","6944 Tillman St","Dallas","TX","75253","(469) 708-4466","https://minty-moment-bq3v.here.now/","rcj-cleaning-qr.png","TRK-001","BATCH-001"
"Victorias Housekeeping","Dallas, TX 75204","Dallas","TX","75204","(214) 923-7169","https://orchid-zephyr-jbwx.here.now/","victorias-housekeeping-qr.png","TRK-002","BATCH-001"
"Cotton Brother's Cleaning","Downtown Dallas","Dallas","TX","75201","(469) 942-0367","https://lunar-moment-bqte.here.now/","cotton-brothers-qr.png","TRK-003","BATCH-001"
"M&H International Mobile Mechanic","Houston, TX","Houston","TX","77001","(346) 902-5067","https://russet-quasar-s3hq.here.now/","mh-mechanic-qr.png","TRK-004","BATCH-001"
"The Dog From Ipanema","7230 SW 57th Ave","Miami","FL","33143","(305) 123-4567","https://chilly-marsh-tx9e.here.now/","dog-ipanema-qr.png","TRK-005","BATCH-001"
"Emily's Maids of Dallas","Dallas, TX 75206","Dallas","TX","75206","(469) 331-6158","https://bold-cipher-vxhv.here.now/","emilys-maids-qr.png","TRK-006","BATCH-001"
"Alex's Auto Repair","Houston, TX","Houston","TX","77001","(832) 420-1816","https://waxen-ginger-3wga.here.now/","alex-auto-qr.png","TRK-007","BATCH-001"
"Tito's Dog Grooming","8309 NW 66th St","Miami","FL","33166","(305) 123-4567","https://brave-trellis-jtvw.here.now/","titos-grooming-qr.png","TRK-008","BATCH-001"
"Bubbles Pet Grooming","Miami, FL","Miami","FL","33101","(305) 123-4567","https://misty-cedar-afph.here.now/","bubbles-grooming-qr.png","TRK-009","BATCH-001"
"Doki's Pets Grooming","Miami, FL","Miami","FL","33101","(305) 123-4567","https://emerald-quiche-4g6d.here.now/","dokis-grooming-qr.png","TRK-010","BATCH-001"
