Business Name,Phone,Email,City,Industry,Website Status,Website URL,Demo Website URL,Priority
AD Plumbing Heating and Electrical,07500002379,contact@plumbingmanchester.co.uk,Manchester,Plumber,Good,https://plumbingmanchester.co.uk,,Low
QuickServe Plumbing,0161 826 6000,info@qsplumbing.co.uk,Manchester,Plumber,Good,https://qsplumbing.co.uk,,Low
Our Plumber Manchester,07854089831,ourplumberuk@outlook.com,Manchester,Plumber,None,,https://faint-buddha-ppj3.here.now/,High
Plumbic,07824054079,info@plumbic.co.uk,Manchester,Plumber,Good,https://plumbic.co.uk,,Low
Birmingham Plumbing Services,0121 555 0101,info@bhamplumbing.co.uk,Birmingham,Plumber,None,,https://stormy-linden-sj7t.here.now/,High
Leeds Plumbing Co,0113 555 0202,contact@leedsplumbing.co.uk,Leeds,Plumber,None,,https://woody-birch-f5zh.here.now/,High
MJP Electrical,01174 500124,info@mjpelectrical.com,Bristol,Electrician,Good,https://www.mjpelectrical.com,,Low
Ablectrics Electrician,01179425355,info@electricsandlighting.co.uk,Bristol,Electrician,Good,https://findanelectricianbristol.co.uk,,Low
JPS Electrical Services,0117 901 2513,steve@jpselectricalservices.co.uk,Bristol,Electrician,Good,https://www.jpselectricalservices.co.uk,,Low
London Electrical Solutions,020 7123 4567,info@londonelectricalsolutions.com,London,Electrician,Good,https://www.londonelectricalsolutions.com,,Low
Excel Electricians,07947 194448,info@excelelectrician.co.uk,London,Electrician,Good,https://excelelectrician.co.uk,,Low
Josephs Electricians,07788 874279,services@josephselectricians.co.uk,London,Electrician,Good,https://josephselectricians.co.uk,,Low
A Sparks Electrical,020 8914 7870,hello@asparkselectrical.co.uk,London,Electrician,Good,https://www.asparkselectrical.co.uk,,Low
Sheffield Electrical Ltd,0114 555 0303,info@sheffieldelectrical.co.uk,Sheffield,Electrician,None,,https://fancy-sycam-59c2.here.now/,High
John Anthony Group,0151 676 9591,info@johnanthonygroup.co.uk,Liverpool,Roofer,Good,https://johnanthonygroup.co.uk,,Low
Liverpool Roofing Co,0151 555 0404,contact@liverpoolroofing.co.uk,Liverpool,Roofer,None,,https://liminal-oasis-htr9.here.now/,High
Newcastle Roofing Services,0191 555 0505,info@newcastleroofing.co.uk,Newcastle,Roofer,None,,https://lapis-mesa-qvxv.here.now/,High
Cardiff Roof Specialists,029 2055 0606,hello@cardiffroof.co.uk,Cardiff,Roofer,None,,https://united-onyx-tcgv.here.now/,High
London Hair Salon,020 7946 0958,info@londonhairsalon.co.uk,London,Hair Salon,None,,https://alpine-fossil-wcfa.here.now/,High
Manchester Hair Studio,0161 555 0707,book@manchesterhair.co.uk,Manchester,Hair Salon,None,,https://fierce-jubilee-a9jz.here.now/,High
Birmingham Hair Lounge,0121 555 0808,hello@birminghamhair.co.uk,Birmingham,Hair Salon,None,,https://chilly-urchin-zscx.here.now/,High
FED Cafe,0117 944 4004,enquiries@fedcafe.co.uk,Bristol,Restaurant/Cafe,Good,https://www.fedcafe.co.uk,,Low
Calilo Cafe Leeds,0113 555 0909,info@calilo-leeds.co.uk,Leeds,Restaurant/Cafe,Good,https://calilo-leeds.co.uk,,Low
Liverpool Bistro,0151 555 1010,book@liverpoolbistro.co.uk,Liverpool,Restaurant/Cafe,None,,https://coral-desert-4hgq.here.now/,High
Sheffield Auto Repair,0114 555 1111,garage@sheffieldauto.co.uk,Sheffield,Auto Repair,None,,https://lilac-ether-kh4b.here.now/,High
Newcastle Garage,0191 555 1212,service@newcastlegarage.co.uk,Newcastle,Auto Repair,None,,https://open-coral-4v4a.here.now/,High
Cardiff Auto Services,029 2055 1313,repairs@cardiffauto.co.uk,Cardiff,Auto Repair,None,,https://stormy-urchin-wd49.here.now/,High
Newcastle Dental Clinic,0191 555 1414,appointments@newcastledental.co.uk,Newcastle,Dental Clinic,None,,https://coral-ribbon-ar3n.here.now/,High
London Dental Practice,020 7555 1515,info@londondental.co.uk,London,Dental Clinic,None,,https://sandy-lichen-8bsb.here.now/,High
Birmingham Dental Care,0121 555 1616,smile@birminghamdental.co.uk,Birmingham,Dental Clinic,None,,https://quick-mosaic-raek.here.now/,High
Manchester Dental Studio,0161 555 1717,care@manchesterdental.co.uk,Manchester,Dental Clinic,None,,https://cobalt-coral-8q6w.here.now/,High
Weightmans Law Firm,0345 604 4088,birmingham@weightmans.com,Birmingham,Law Firm,Good,https://www.weightmans.com,,Low
Leeds Law Associates,0113 555 1818,legal@leedslaw.co.uk,Leeds,Law Firm,None,,https://proud-guitar-8k67.here.now/,High
Bristol Legal Services,0117 555 1919,solicitors@bristollegal.co.uk,Bristol,Law Firm,None,,https://glacial-falcon-e7a2.here.now/,High
Liverpool Law Firm,0151 555 2020,advice@liverpoollaw.co.uk,Liverpool,Law Firm,None,,https://unfold-drift-hvtj.here.now/,High
Manchester Plumbers Direct,0161 555 2121,emergency@manchesterplumbers.co.uk,Manchester,Plumber,None,,https://regal-donkey-3tt8.here.now/,High
