business_name,email,sent_date,response_received,response_date,stripe_clicked,paid,onboarding_sent,setup_complete,notes
Chintz Hair Salon,info@chintzhairsalon.co.uk,2026-03-15,,,No,No,No,No,Batch 1
Alexandra Lucy Hair,alexandra@example.com,2026-03-15,,,No,No,No,No,Batch 1
That Hair Salon Sandbach,jo@example.com,2026-03-15,,,No,No,No,No,Batch 1
Perfection Hair & Beauty,salon@example.com,2026-03-15,,,No,No,No,No,Batch 1
Sparkle & Shine Cleaning,contact@sparkleshine.co.uk,2026-03-15,,,No,No,No,No,Batch 1
CleanNatural,info@cleannatural.co.uk,2026-03-15,,,No,No,No,No,Batch 2
Cleaners of London,office@cleanersoflondon.co.uk,2026-03-15,,,No,No,No,No,Batch 2
The Home Maid,hello@thehomemaid.co.uk,2026-03-15,,,No,No,No,No,Batch 2
AQG Cleaning Services,info@aqgcleaning.co.uk,2026-03-15,,,No,No,No,No,Batch 2
Busy Bees Housekeeping,info@busybees-homecare.co.uk,2026-03-15,,,No,No,No,No,Batch 2
Glimmr Cleaning,info@glimmr.co.uk,2026-03-15,,,No,No,No,No,Batch 2
Miss Maid,info@missmaid.co.uk,2026-03-15,,,No,No,No,No,Batch 2
TidyChoice,info@tidychoice.com,2026-03-15,,,No,No,No,No,Batch 2
Salon No.6,salon@salonno6.co.uk,2026-03-15,,,No,No,No,No,Batch 2
The Hair Company,info@thehaircompany.co.uk,2026-03-15,,,No,No,No,No,Batch 2
Hause of Beauty,hello@hausofbeauty.co.uk,2026-03-15,,,No,No,No,No,Batch 2
Salon Society,hello@salonsociety.co.uk,2026-03-15,,,No,No,No,No,Batch 2
Salon No.1,bookings@thesalonno1.co.uk,2026-03-15,,,No,No,No,No,Batch 2
UK Roofing Company,ukroofingco@gmail.com,2026-03-15,,,No,No,No,No,Roofers
UK Roofing Specialist,office@ukroofingspecialist.co.uk,2026-03-15,,,No,No,No,No,Roofers
UK National Roofing,enquiries@uknationalroofing.com,2026-03-15,,,No,No,No,No,Roofers
Roofer UK Network,michael@rooferuk.co.uk,2026-03-15,,,No,No,No,No,Roofers
Empire UPVC & Roofing,chris@empireupvcandroofing.co.uk,2026-03-15,,,No,No,No,No,Roofers
Wise Roofing Reading,info@rgwiseroofing.co.uk,2026-03-15,,,No,No,No,No,Roofers
J. England Roofing,info@englandroofingcontractors.co.uk,2026-03-15,,,No,No,No,No,Roofers
Roofcure 24/7,sales@roof-cure247.co.uk,2026-03-15,,,No,No,No,No,Roofers
Ford Roofing,info@fordroofing.co.uk,2026-03-15,,,No,No,No,No,Roofers
Endon Roofing,estimating@endonroofing.com,2026-03-15,,,No,No,No,No,Roofers
The Original Roofing Company,info@theoriginalroofingcompany.co.uk,2026-03-15,,,No,No,No,No,Roofers
JH King Roofing,info@jhkroofing.co.uk,2026-03-15,,,No,No,No,No,Roofers
Sterling Roofing,info@sterlingroofingcontractorsltd.co.uk,2026-03-15,,,No,No,No,No,Roofers
The Roofing Contractors,info@theroofingcontractors.co.uk,2026-03-15,,,No,No,No,No,Roofers
Town & County Roofing,stafford@townandcountyroofing.co.uk,2026-03-15,,,No,No,No,No,Roofers
UK Roofing Company (Pennine),contact@ukroofingcompany.com,2026-03-15,,,No,No,No,No,Roofers
UK Roofing Specialist (Enfield),info@ukroofingspecialist.co.uk,2026-03-15,,,No,No,No,No,Roofers
Roofing Services UK,hello@roofingservices.co.uk,2026-03-15,,,No,No,No,No,Roofers
Local Roofer,enquiries@localroofer.co.uk,2026-03-15,,,No,No,No,No,Roofers
